Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Contingency & Reserves,Contingency,Contingency & Reserves,Contingency,Other Financing Uses,Total of Other Financing Uses,38250505.00,38250505.00
2013,Contingency & Reserves,Contingency,Contingency & Reserves,Contingency,Other Financing Uses,Total of Other Financing Uses,45018673.00,45018673.00
2015,"Cultural, Recreation & Education",County Library,County Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,188000.00,188000.00
2013,"Cultural, Recreation & Education",County Library,County Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,188000.00,188000.00
2014,"Cultural, Recreation & Education",County Library,County Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,188000.00,188000.00
2015,"Cultural, Recreation & Education",County Library,County Library,Other Charges,Other Charges,Total of Other Charges,1146396.00,1146396.00
2013,"Cultural, Recreation & Education",County Library,County Library,Other Charges,Other Charges,Total of Other Charges,1146396.00,1146396.00
2014,"Cultural, Recreation & Education",County Library,County Library,Other Charges,Other Charges,Total of Other Charges,1146396.00,1146396.00
2013,"Cultural, Recreation & Education",County Library,County Library,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1473104.00,1473104.00
2014,"Cultural, Recreation & Education",County Library,County Library,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1624331.00,1613531.00
2015,"Cultural, Recreation & Education",County Library,County Library,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1703605.00,1694145.00
2015,"Cultural, Recreation & Education",County Library,County Library,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9671028.00,9688829.00
2013,"Cultural, Recreation & Education",County Library,County Library,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10277468.00,10287293.00
2014,"Cultural, Recreation & Education",County Library,County Library,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10839665.00,10850465.00
2013,"Cultural, Recreation & Education",County Library,County Library,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17475385.00,17465560.00
2014,"Cultural, Recreation & Education",County Library,County Library,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17705368.00,17705368.00
2015,"Cultural, Recreation & Education",County Library,County Library,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19214023.00,19205682.00
2015,"Cultural, Recreation & Education",County Library,Library Special Tax,Other Charges,Other Charges,Total of Other Charges,3299.00,3299.00
2013,"Cultural, Recreation & Education",County Library,Library Special Tax,Other Charges,Other Charges,Total of Other Charges,4243.00,4243.00
2014,"Cultural, Recreation & Education",County Library,Library Special Tax,Other Charges,Other Charges,Total of Other Charges,4243.00,4243.00
2015,"Cultural, Recreation & Education",County Library,Library Special Tax,Fixed Assets,Fixed Assets,Total of Fixed Assets,49000.00,49000.00
2013,"Cultural, Recreation & Education",County Library,Library Special Tax,Fixed Assets,Fixed Assets,Total of Fixed Assets,49000.00,49000.00
2014,"Cultural, Recreation & Education",County Library,Library Special Tax,Fixed Assets,Fixed Assets,Total of Fixed Assets,49000.00,49000.00
2014,"Cultural, Recreation & Education",County Library,Library Special Tax,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1497355.00,1497355.00
2013,"Cultural, Recreation & Education",County Library,Library Special Tax,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1515147.00,1515147.00
2015,"Cultural, Recreation & Education",County Library,Library Special Tax,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1593752.00,1593752.00
2014,General Government,Art Commission,Art Commission,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8679.00,8679.00
2013,General Government,Art Commission,Art Commission,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9856.00,9856.00
2014,General Government,Art Commission,Art Commission,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160668.00,160668.00
2013,General Government,Art Commission,Art Commission,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160668.00,160668.00
2013,General Government,Art Commission,Art Commission,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,392403.00,392403.00
2014,General Government,Art Commission,Art Commission,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,396949.00,396949.00
2015,General Government,Art Commission,Arts Commission,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-200000.00,-200000.00
2015,General Government,Art Commission,Arts Commission,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7810.00,8075.00
2015,General Government,Art Commission,Arts Commission,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,360668.00,360668.00
2015,General Government,Art Commission,Arts Commission,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,415180.00,415180.00
2015,General Government,Assessor,Assessor,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1589762.00,1635830.00
2014,General Government,Assessor,Assessor,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1635830.00,1635830.00
2013,General Government,Assessor,Assessor,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1635830.00,1635830.00
2013,General Government,Assessor,Assessor,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3405959.00,3405959.00
2014,General Government,Assessor,Assessor,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3449802.00,3507837.00
2015,General Government,Assessor,Assessor,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3566915.00,3533631.00
2013,General Government,Assessor,Assessor,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18296016.00,18296016.00
2014,General Government,Assessor,Assessor,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18485468.00,18485468.00
2015,General Government,Assessor,Assessor,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19035672.00,19035672.00
2014,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1015140.00,1015140.00
2015,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1029570.00,1035094.00
2013,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1055258.00,1055258.00
2014,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1748041.00,1769203.00
2015,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1748041.00,1748041.00
2013,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2026204.00,2026204.00
2013,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7356413.00,7263855.00
2014,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7596319.00,7575157.00
2015,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7846174.00,7846174.00
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-70000.00,-70000.00
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-70000.00,-70000.00
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-70000.00,-70000.00
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Other Charges,Other Charges,Total of Other Charges,50000.00,50000.00
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Other Charges,Other Charges,Total of Other Charges,100000.00,100000.00
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Other Charges,Other Charges,Total of Other Charges,100000.00,100000.00
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1152442.00,1171506.00
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1171506.00,1171506.00
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1171506.00,1171506.00
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3130531.00,3130531.00
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3180041.00,3202874.00
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3233586.00,3226130.00
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,15516710.00,15160134.00
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,16477912.00,16477912.00
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17135268.00,17098367.00
2015,General Government,Board of Supervisors,Board of Supervisors,Other Charges,Other Charges,Total of Other Charges,148468.00,148468.00
2014,General Government,Board of Supervisors,Board of Supervisors,Other Charges,Other Charges,Total of Other Charges,160675.00,165405.00
2013,General Government,Board of Supervisors,Board of Supervisors,Other Charges,Other Charges,Total of Other Charges,165405.00,165405.00
2013,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,74287.00,74287.00
2015,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,82911.00,82911.00
2014,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,88386.00,88386.00
2013,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,180459.00,180459.00
2015,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,199310.00,199397.00
2014,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,208090.00,208090.00
2014,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,217280.00,217280.00
2015,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,231448.00,231448.00
2013,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,234546.00,234546.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 1,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,13526.00,13526.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 1,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,16668.00,16668.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 1,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,23951.00,25049.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 1,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,319878.00,319878.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 1,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,319878.00,319878.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 1,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,367928.00,367928.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 1,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,950665.00,950665.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 1,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1063833.00,1063833.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 1,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1111705.00,1111705.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 2,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,35853.00,36573.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 2,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,82666.00,82666.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 2,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,102809.00,102809.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 2,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,401597.00,401597.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 2,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,483767.00,483767.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 2,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,543424.00,543424.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 2,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,706029.00,706029.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 2,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,895973.00,895973.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 2,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,936292.00,936292.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 3,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,18905.00,19633.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 3,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,23228.00,23228.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 3,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,25417.00,25417.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 3,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,356558.00,356558.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 3,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,394059.00,394059.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 3,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,411955.00,411955.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 3,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,952333.00,952333.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 3,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,980903.00,980903.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 3,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1025044.00,1025044.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 4,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,40482.00,40482.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 4,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,45628.00,45628.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 4,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,46535.00,47174.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 4,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,398921.00,398921.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 4,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,486246.00,486246.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 4,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,515548.00,515548.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 4,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,776089.00,776089.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 4,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,868505.00,868505.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 4,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1010537.00,1010537.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 5,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3249.00,4144.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 5,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3260.00,3260.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 5,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3417.00,3417.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 5,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,462504.00,462504.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 5,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,489418.00,489418.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 5,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,539609.00,539609.00
2013,General Government,Board of Supervisors,Board of Supervisors - District 5,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,789250.00,789250.00
2014,General Government,Board of Supervisors,Board of Supervisors - District 5,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,907544.00,907544.00
2015,General Government,Board of Supervisors,Board of Supervisors - District 5,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,989984.00,989984.00
2014,General Government,Community Development Agency,CDA Capital,Fixed Assets,Fixed Assets,Total of Fixed Assets,14160264.00,14160264.00
2015,General Government,Community Development Agency,CDA Capital,Fixed Assets,Fixed Assets,Total of Fixed Assets,15892000.00,15892000.00
2015,General Government,Community Development Agency,CDA Recovery Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1725515.00,1725515.00
2014,General Government,Community Development Agency,CDA Recovery Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1764489.00,1764489.00
2013,General Government,Community Development Agency,CDA Recovery Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4998752.00,4998752.00
2015,General Government,Community Development Agency,CDA-Agri Weights Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8636.00,10822.00
2013,General Government,Community Development Agency,CDA-Agri Weights Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9306.00,9306.00
2014,General Government,Community Development Agency,CDA-Agri Weights Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10598.00,10598.00
2015,General Government,Community Development Agency,CDA-Agri Weights Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,232312.00,232312.00
2013,General Government,Community Development Agency,CDA-Agri Weights Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,234784.00,234784.00
2014,General Government,Community Development Agency,CDA-Agri Weights Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,251505.00,251505.00
2013,General Government,Community Development Agency,CDA-Agri Weights Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3120523.00,3120523.00
2014,General Government,Community Development Agency,CDA-Agri Weights Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3123250.00,3123250.00
2015,General Government,Community Development Agency,CDA-Agri Weights Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3210270.00,3210270.00
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5634.00,5634.00
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6503.00,7199.00
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7022.00,7022.00
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Other Charges,Other Charges,Total of Other Charges,335468.00,335468.00
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Other Charges,Other Charges,Total of Other Charges,385190.00,385190.00
